 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Pré-Natal por Município e Ano
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Total"
"150360 ITAITUBA";-;-;14162;3514;2265;1834;1773;3287;4410;4691;7079;6585;6799;8343;8707;8415;8020;1823;91707
"150370 ITUPIRANGA";-;-;169;642;353;1180;4353;947;2405;1619;1818;4648;2847;3164;3859;6226;4441;679;39350
"150375 JACAREACANGA";-;116;108;344;323;372;442;783;1161;567;759;691;1140;1260;829;705;765;246;10611
"150380 JACUNDA";146;821;1021;715;3307;2340;4174;4868;5610;4263;5133;4227;3371;4305;3841;4887;4100;295;57424
"150390 JURUTI";450;432;767;778;814;2022;1996;1528;1690;1802;4070;6114;4652;4301;4247;4114;8603;3042;51422
"150400 LIMOEIRO DO AJURU";6;67;-;678;817;337;511;467;610;636;1559;1363;1234;1336;1316;1611;1460;226;14234
"150405 MAE DO RIO";7;91;371;1238;1536;2448;2357;2643;2421;1968;2505;2331;2467;2528;2053;2698;4409;2926;36997
"150410 MAGALHAES BARATA";-;-;-;49;267;201;392;669;488;506;375;464;307;281;371;248;545;612;5775
"150420 MARABA";3449;2111;4731;3493;2685;3230;3832;3855;7312;6528;9992;11691;9064;10129;7117;13549;11652;4099;118519
"150430 MARACANA";-;-;-;180;224;349;432;798;1795;1207;1939;851;1585;1378;2212;2045;2355;2055;19405
"150440 MARAPANIM";475;897;717;854;1698;2144;1824;1781;1873;1922;1463;1201;769;646;742;775;1575;2460;23816
"150442 MARITUBA";-;39;61;997;3387;3055;2919;3345;2678;2852;3100;4500;4980;5207;5532;5746;3866;2705;54969
"150445 MEDICILANDIA";-;-;-;-;-;-;-;-;62;72;177;2688;3494;3696;2130;1272;297;-;13888
"150450 MELGACO";-;-;-;21;-;-;66;259;312;1090;2713;1908;1841;1404;790;5309;2088;142;17943
"150460 MOCAJUBA";-;-;-;-;555;709;384;643;1417;2107;2006;2826;3355;3222;2463;2926;3285;1102;27000
"150470 MOJU";4252;134;1;6;-;578;2166;2140;1489;2483;4677;4410;2488;2523;2110;2908;3001;2470;37836
"150475 MOJUI DOS CAMPOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150480 MONTE ALEGRE";1;-;115;266;288;417;296;592;661;602;790;1177;750;689;791;945;1167;1645;11192
"150490 MUANA";351;393;310;151;425;-;36;92;208;424;377;459;1028;1801;2517;3122;3283;2987;17964
"150495 NOVA ESPERANCA DO PIRIA";-;259;-;694;567;851;941;846;1999;3168;3253;2471;2607;4495;3128;3106;2449;1457;32291
"150497 NOVA IPIXUNA";7;46;-;-;713;923;962;933;1441;1716;1420;1844;1350;1263;1490;1414;1061;1327;17910
"150500 NOVA TIMBOTEUA";-;593;586;875;561;664;1300;927;769;632;812;747;722;604;608;643;848;408;12299
"150503 NOVO PROGRESSO";125;65;32;144;34;-;760;101;1889;731;4669;3666;3143;2827;2435;2728;2925;3497;29771
"150506 NOVO REPARTIMENTO";794;435;-;-;1;-;-;1260;8654;6197;10786;9724;3785;3777;3597;3112;3063;3658;58843
"150510 OBIDOS";790;247;861;1479;2135;2349;2095;3807;4037;3456;4643;5741;5525;4956;4505;4659;4873;4815;60973
"150520 OEIRAS DO PARA";45;713;305;-;381;646;5250;8163;11557;4908;4944;2995;3221;4245;4769;4888;5681;5027;67738
"150530 ORIXIMINA";227;429;843;1187;1237;1210;1153;1249;1140;633;703;704;2027;4403;4005;4262;4598;3719;33729
"150540 OUREM";-;-;-;-;480;2058;2454;2424;2348;1661;1537;1981;2035;1762;1453;1773;1701;705;24372
"150543 OURILANDIA DO NORTE";1166;1807;1953;1445;2488;2046;2832;1952;2893;2304;3061;3482;2978;3456;3298;4509;4184;4203;50057
"150548 PACAJA";-;789;569;458;2374;2696;1576;928;1103;1289;2321;2093;3097;3064;3157;2896;1710;-;30120
"150549 PALESTINA DO PARA";31;9;84;445;344;38;244;317;94;86;97;99;190;97;43;72;21;556;2867
"150550 PARAGOMINAS";154;4120;5746;10032;12430;11357;9018;10622;13094;9125;9766;10239;8827;9994;9963;9019;9173;3779;156458
"150553 PARAUAPEBAS";90;1326;985;923;997;782;636;1076;1114;1111;2825;4957;5822;5083;4691;9525;12861;6636;61440
"150555 PAU D'ARCO";606;1079;758;703;517;828;-;16;391;524;430;637;457;678;765;715;634;745;10483
"150560 PEIXE-BOI";-;-;124;642;685;634;697;509;477;526;455;589;496;487;525;3102;653;518;11119
"150563 PICARRA";210;498;827;643;879;443;1037;681;889;1077;1513;1075;1160;952;1162;955;1341;1285;16627
"150565 PLACAS";65;-;3;-;-;-;-;-;-;-;80;-;-;9;152;1040;1318;1113;3780
"150570 PONTA DE PEDRAS";-;-;-;46;-;425;294;452;871;1251;1407;1804;5666;1978;1294;1936;2107;2002;21533
"150580 PORTEL";165;341;596;1430;2801;3229;3193;3690;2798;2835;5512;18822;46353;12302;10260;9955;11787;1530;137599
"150590 PORTO DE MOZ";358;197;1251;1734;1711;2399;995;686;807;1251;2619;1866;1456;2408;3635;3501;2329;2988;32191
"150600 PRAINHA";16;233;284;755;180;351;952;833;1085;745;1559;2320;2763;1610;2443;1809;2294;1914;22146
"150610 PRIMAVERA";-;-;-;38;190;395;318;278;364;524;645;769;1007;996;805;817;911;1251;9308
"150611 QUATIPURU";196;318;386;570;962;1235;1152;1353;1617;1387;1337;1370;888;1013;989;948;924;355;17000
"150613 REDENCAO";566;557;459;228;1471;1114;1229;1556;1297;834;1180;1806;3788;3817;3066;3732;4005;3406;34111
"150616 RIO MARIA";330;566;2082;1466;1092;767;920;1187;1517;1261;1227;1254;700;1040;1588;1750;1202;-;19949
"150618 RONDON DO PARA";18;604;2168;2067;2500;2975;2591;3344;3234;3327;3954;3523;3189;3647;3680;3515;3128;4265;51729
"150619 RUROPOLIS";399;967;1258;1483;3004;1998;1587;1475;1809;2008;2225;2083;1472;1423;1980;3035;2725;3037;33968
"150620 SALINOPOLIS";-;-;-;-;1127;3750;3383;3369;3406;2394;2925;2103;1632;1672;1185;1749;2277;3538;34510
"150630 SALVATERRA";512;369;510;638;73;602;397;1014;755;934;814;914;1111;1051;1192;766;579;895;13126
"150635 SANTA BARBARA DO PARA";154;413;606;158;539;874;912;841;945;986;765;920;971;973;1163;1105;1062;1415;14802
"150640 SANTA CRUZ DO ARARI";109;195;64;51;3;161;142;149;210;158;122;-;246;278;329;122;254;439;3032
"150650 SANTA IZABEL DO PARA";27;73;723;1891;1930;2524;3588;3313;3096;2609;3234;3789;3686;4275;4457;5046;5608;5360;55229
"150655 SANTA LUZIA DO PARA";1046;3004;1820;1725;1220;745;1281;1430;1380;1232;2086;5019;2305;2058;1819;1516;2276;2063;34025
"150658 SANTA MARIA DAS BARREIRAS";219;225;98;72;-;281;445;103;46;22;63;1022;831;819;750;768;295;-;6059
"150660 SANTA MARIA DO PARA";23;617;1457;1233;1371;1980;1991;1954;1732;1091;1248;1343;1663;1174;1537;1334;1394;517;23659
"150670 SANTANA DO ARAGUAIA";593;296;263;4283;4311;4523;3917;3504;3994;3473;3716;3370;3437;4463;5691;5800;6357;1603;63594
"150680 SANTAREM";1125;2863;4351;6496;7174;10097;11241;13658;15522;12266;14907;20240;13649;14569;15549;15518;17439;9184;205848
"150690 SANTAREM NOVO";-;-;-;287;403;342;389;300;562;471;424;562;452;401;306;155;209;349;5612
"150700 SANTO ANTONIO DO TAUA";273;1102;937;898;1042;897;844;1298;1738;1817;1055;1133;1121;1490;1716;1916;1336;1751;22364
"150710 SAO CAETANO DE ODIVELAS";-;-;10;-;-;156;320;342;367;476;675;465;471;495;932;1467;993;975;8144
"150715 SAO DOMINGOS DO ARAGUAIA";-;82;-;1338;1984;2043;2759;3370;5827;4776;3135;2286;2052;2026;2458;2754;2678;2751;42319
"150720 SAO DOMINGOS DO CAPIM";406;559;655;359;947;933;1642;3166;4510;3133;2510;2852;882;1057;3179;2259;3005;2835;34889
"150730 SAO FELIX DO XINGU";99;-;236;6292;5293;1545;1076;773;1400;1272;2298;2503;2650;3150;3809;3410;3693;1326;40825
"150740 SAO FRANCISCO DO PARA";529;159;416;751;1119;1387;1147;1464;1829;1336;1204;1427;1202;1298;1374;1635;1734;1479;21490
"150745 SAO GERALDO DO ARAGUAIA";1010;543;1153;3017;3709;4314;2829;1431;1401;2421;2992;2913;3354;3020;2450;2533;2378;2658;44126
"150746 SAO JOAO DA PONTA";-;-;-;319;267;422;478;344;218;245;290;207;220;479;293;267;374;231;4654
"150747 SAO JOAO DE PIRABAS";-;-;-;232;929;1452;761;392;552;219;367;831;1226;1456;1322;1584;1430;1680;14433
"150750 SAO JOAO DO ARAGUAIA";-;76;41;257;386;931;1308;1136;1907;1802;1193;1322;1155;1104;769;650;736;878;15651
"150760 SAO MIGUEL DO GUAMA";312;1;11;813;1195;1790;3664;5673;6447;4766;5627;1926;3291;5039;4879;4672;4942;5248;60296
"150770 SAO SEBASTIAO DA BOA VISTA";-;57;347;691;707;512;634;761;190;171;527;323;237;299;335;287;2226;3855;12159
"150775 SAPUCAIA";62;558;630;329;277;376;224;188;215;264;262;94;222;578;166;426;340;-;5211
"150780 SENADOR JOSE PORFIRIO";134;653;321;112;23;160;86;192;2264;1225;823;1464;864;1210;708;808;971;844;12862
"150790 SOURE";177;374;67;262;584;310;208;198;987;845;735;711;1130;1430;2132;3659;2420;2417;18646
"150795 TAILANDIA";340;373;123;53;-;-;-;-;534;695;1183;3270;2789;3755;5220;5816;6356;880;31387
"150796 TERRA ALTA";438;133;115;512;637;785;812;1044;1109;1139;1060;873;858;784;938;1128;1209;1211;14785
"150797 TERRA SANTA";618;149;361;717;661;930;100;315;378;370;391;1289;1160;1780;1774;1559;926;308;13786
"150800 TOME-ACU";599;1042;320;191;522;551;732;609;692;649;728;933;1543;2446;4987;8097;7507;4891;37039
"150803 TRACUATEUA";129;34;67;707;520;1129;1284;4396;3607;2353;3500;2228;2453;2022;1801;2050;2414;1370;32064
"150805 TRAIRAO";-;-;-;50;414;1119;1380;1357;883;1110;1579;1459;1128;1536;1647;1565;1973;1554;18754
"150808 TUCUMA";4161;5878;5555;3082;2303;2399;2451;2230;4287;4109;3674;4316;4045;4537;5231;4658;3597;-;66513
"150810 TUCURUI";333;94;541;2685;4453;6634;8152;4598;4919;2942;4243;4019;4385;4752;4473;5412;7080;8933;78648
"150812 ULIANOPOLIS";155;991;1066;496;2028;2058;3499;2617;3278;3364;3177;2824;3020;2217;2220;3795;5529;3064;45398
"150815 URUARA";-;935;2699;1941;1924;2977;683;1597;1737;1555;1797;1377;2260;2307;2196;2117;3383;4736;36221
"150820 VIGIA";-;-;919;807;909;2051;3018;2227;2174;1968;3278;2481;2098;2608;3287;2342;2185;3281;35633
"150830 VISEU";560;72;-;691;60;261;451;941;1264;910;4067;3916;4663;4867;5044;5009;5859;6171;44806
"150835 VITORIA DO XINGU";-;10;141;1416;388;419;739;1146;608;641;561;922;526;790;1214;1545;2195;1761;15022
"150840 XINGUARA";1779;1677;533;885;1475;1957;2071;2361;3589;3258;5207;4422;5948;4212;3623;4122;1094;-;48213
" MUNICIPIO IGNORADO - AP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"160005 SERRA DO NAVIO";-;-;-;56;110;75;269;366;537;454;542;613;577;511;511;386;458;435;5900
"160010 AMAPA";-;-;-;400;381;-;-;-;-;1091;812;1217;1472;1289;1073;598;-;-;8333
"160015 PEDRA BRANCA DO AMAPARI";-;-;-;88;31;406;567;965;1126;1296;1401;1785;1724;1539;1737;610;-;-;13275
"160020 CALCOENE";-;-;-;-;-;-;-;375;750;672;623;1220;1125;1170;979;604;-;-;7518
"160021 CUTIAS";-;-;-;164;536;489;391;231;575;558;580;317;725;474;459;358;-;-;5857
"160023 FERREIRA GOMES";-;-;-;310;339;356;1055;847;859;756;647;607;660;584;821;688;-;-;8529
"160025 ITAUBAL";-;-;-;161;215;475;363;377;352;464;463;601;515;440;462;262;-;-;5150
"160027 LARANJAL DO JARI";-;-;-;-;2295;4130;3484;3727;3797;4030;4260;4748;4455;3798;4459;2266;-;-;45449
"160030 MACAPA";-;2489;1710;793667;11806;13247;14462;13366;14229;13343;15362;15942;15785;13469;13925;7076;-;-;959878
"160040 MAZAGAO";-;-;-;574;642;1052;1572;1798;2043;1792;1807;1890;2154;3985;2194;760;-;-;22263
"160050 OIAPOQUE";-;-;-;23;436;1608;1704;5938;3131;122740;2293;1618;2352;2358;1806;875;-;-;146882
"160053 PORTO GRANDE";-;-;-;436;815;909;1046;1313;1508;1231;1427;1486;1910;2142;2397;1669;-;-;18289
"160055 PRACUUBA";-;-;-;-;-;-;-;-;381;345;453;337;221;287;345;166;-;-;2535
"160060 SANTANA";-;166;1244;3694;3651;3872;3855;3637;6201;5969;7311;6953;6673;7152;5786;3475;-;-;69639
"160070 TARTARUGALZINHO";-;-;-;349;511;833;644;743;1145;612;794;1055;780;701;581;488;-;-;9236
"160080 VITORIA DO JARI";-;-;-;203;568;518;212;1934;2277;2154;2715;2636;2574;3674;2446;1286;-;-;23197
" MUNICIPIO IGNORADO - TO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170025 ABREULANDIA";-;40;82;520;447;301;382;439;277;281;291;266;198;158;205;125;168;124;4304
"170030 AGUIARNOPOLIS";-;-;82;145;224;428;436;306;426;438;622;672;622;665;713;1133;1064;1017;8993
"170035 ALIANCA DO TOCANTINS";19;350;270;645;449;803;594;395;501;393;584;597;557;517;351;433;501;415;8374
"170040 ALMAS";153;445;552;463;654;648;654;473;497;395;330;1182;684;1059;890;1081;1018;1315;12493
"170070 ALVORADA";10;371;502;838;1397;1209;606;677;675;807;904;750;936;1046;1116;810;1147;961;14762
"170100 ANANAS";-;145;958;691;978;1237;1625;1635;1605;1424;1318;1086;1025;961;1126;1076;1026;1014;18930
"170105 ANGICO";-;-;34;118;410;340;375;340;191;152;220;275;210;301;363;291;206;92;3918
"170110 APARECIDA DO RIO NEGRO";14;183;-;88;308;277;379;456;573;408;271;575;575;591;579;1247;305;363;7192
"170130 ARAGOMINAS";-;169;168;242;310;655;474;425;390;356;345;355;294;461;333;597;386;425;6385
"170190 ARAGUACEMA";35;336;487;854;746;501;692;762;873;801;727;849;837;1047;730;639;221;-;11137
"170200 ARAGUACU";-;-;156;382;266;477;291;444;551;736;607;684;821;698;623;699;700;852;8987
"170210 ARAGUAINA";82;714;2215;1845;4387;7656;10609;10753;12208;12511;10996;13441;13447;14299;14533;13062;14564;13786;171108
"170215 ARAGUANA";-;125;264;304;432;461;2692;809;871;718;867;630;842;579;610;462;491;481;11638
"170220 ARAGUATINS";-;32;550;953;1478;2710;3254;2276;2211;2668;4202;4046;3640;3314;3475;3195;3664;3536;45204
"170230 ARAPOEMA";-;313;642;795;1404;793;912;925;935;1124;927;821;882;771;919;707;643;695;14208
"170240 ARRAIAS";10;181;356;253;163;193;266;304;523;558;756;808;920;1013;894;1073;550;-;8821
"170255 AUGUSTINOPOLIS";-;176;620;614;576;980;1479;1578;1935;1692;1910;1824;1936;1800;1600;1790;1673;2145;24328
"170270 AURORA DO TOCANTINS";13;133;107;64;94;188;183;270;237;190;166;185;248;240;242;226;278;216;3280
"170290 AXIXA DO TOCANTINS";-;45;-;112;813;1439;1636;1684;1752;1635;1394;1263;1086;1309;1118;1023;476;-;16785
"170300 BABACULANDIA";51;487;302;462;737;692;639;567;790;977;692;1012;556;524;569;370;520;610;10557
"170305 BANDEIRANTES DO TOCANTINS";-;-;-;330;275;287;237;321;413;300;50;224;346;274;547;442;220;167;4433
"170307 BARRA DO OURO";-;-;-;32;418;201;1473;280;298;390;395;382;450;488;370;350;493;544;6564
"170310 BARROLANDIA";75;203;367;164;238;341;474;344;351;331;413;557;483;361;605;706;572;426;7011
"170320 BERNARDO SAYAO";-;52;391;389;390;317;367;425;506;416;448;437;532;460;442;433;539;588;7132
"170330 BOM JESUS DO TOCANTINS";32;182;198;110;181;164;328;251;411;389;329;348;279;422;343;404;588;389;5348
"170360 BRASILANDIA DO TOCANTINS";-;93;164;199;165;350;240;187;195;230;233;265;308;282;319;204;207;241;3882
"170370 BREJINHO DE NAZARE";-;59;115;250;827;658;425;400;523;441;674;840;593;-;-;477;749;422;7453
"170380 BURITI DO TOCANTINS";-;-;-;130;404;788;978;2120;1929;1482;1859;1461;1115;1009;962;603;1158;1094;17092
"170382 CACHOEIRINHA";-;-;-;83;200;148;258;301;384;449;398;324;415;333;214;211;287;241;4246
"170384 CAMPOS LINDOS";-;-;-;122;247;361;658;457;729;971;871;1254;1622;1414;1561;1377;2358;1755;15757
"170386 CARIRI DO TOCANTINS";100;371;1167;202;342;342;303;372;419;397;211;271;246;264;291;246;322;490;6356
"170388 CARMOLANDIA";-;-;267;144;214;230;256;243;284;335;291;284;154;228;118;280;210;157;3695
"170389 CARRASCO BONITO";-;-;-;368;274;394;333;454;623;785;832;622;590;659;345;490;593;582;7944
"170390 CASEARA";-;-;302;467;658;616;667;651;630;493;515;552;468;556;593;432;387;513;8500
"170410 CENTENARIO";-;-;13;153;174;244;325;327;379;168;195;306;237;265;222;171;156;145;3480
"170460 CHAPADA DE AREIA";-;68;62;111;72;71;85;126;183;131;159;118;226;222;169;104;89;117;2113
"170510 CHAPADA DA NATIVIDADE";-;197;237;330;251;273;329;520;942;430;559;467;439;345;460;442;320;257;6798
"170550 COLINAS DO TOCANTINS";12;481;3447;4899;6119;5328;4814;5177;4782;3679;4885;4189;4162;3917;3843;3512;3563;2037;68846
"170555 COMBINADO";120;237;302;1201;921;470;592;509;664;651;430;302;284;330;395;450;543;545;8946
"170560 CONCEICAO DO TOCANTINS";-;-;-;364;334;274;327;446;412;439;330;366;562;427;441;1025;528;377;6652
"170600 COUTO MAGALHAES";45;441;479;320;206;182;164;392;991;538;416;542;597;572;599;698;560;527;8269
"170610 CRISTALANDIA";208;954;1147;758;462;807;843;778;710;618;675;851;805;761;3654;679;673;458;15841
"170625 CRIXAS DO TOCANTINS";-;-;-;202;232;344;126;117;105;100;139;121;96;119;177;117;157;144;2296
"170650 DARCINOPOLIS";-;-;-;-;77;215;306;530;505;372;782;691;628;549;519;459;696;608;6937
"170700 DIANOPOLIS";67;1266;2124;2930;2223;2372;2374;2726;2434;2437;2619;2736;2158;2103;1869;2151;1276;1979;37844
"170710 DIVINOPOLIS DO TOCANTINS";-;400;254;405;581;790;979;828;995;887;922;894;777;1061;1128;1026;453;841;13221
"170720 DOIS IRMAOS DO TOCANTINS";10;59;52;334;332;301;652;428;463;418;525;429;436;372;364;401;502;426;6504
"170730 DUERE";-;-;392;237;476;355;528;425;605;613;628;459;423;562;657;393;557;491;7801
"170740 ESPERANTINA";228;-;467;385;914;1559;790;925;1195;959;972;1345;1074;1235;1483;1566;1534;1274;17905
"170755 FATIMA";90;330;276;202;410;472;386;477;416;512;441;299;329;435;403;386;339;258;6461
"170765 FIGUEIROPOLIS";-;386;378;168;247;155;175;390;566;551;672;569;446;524;540;476;500;712;7455
"170770 FILADELFIA";78;301;777;222;743;854;793;959;788;983;822;674;716;482;599;671;582;510;11554
"170820 FORMOSO DO ARAGUAIA";45;142;110;1035;1886;2013;1983;1503;1682;2845;2793;1950;1742;2147;2024;2366;2342;2188;30796
"170825 FORTALEZA DO TABOCAO";-;-;-;29;176;142;114;193;247;349;391;357;762;150;125;107;109;-;3251
"170830 GOIANORTE";-;235;319;526;562;581;507;538;639;559;481;426;355;405;376;376;320;192;7397
"170900 GOIATINS";-;-;60;381;898;738;752;824;1008;746;601;1847;1123;1306;945;1181;1364;1198;14972
"170930 GUARAI";-;47;240;224;975;1779;2329;2979;3866;4076;3774;3974;4484;4302;3525;3193;3039;3414;46220
"170950 GURUPI";-;2198;3335;2877;5724;6120;5344;6593;8317;7850;8697;8893;9761;8452;9689;8171;9196;9667;120884
"170980 IPUEIRAS";-;-;-;-;89;212;160;280;213;208;117;139;147;141;134;121;91;174;2226
"171050 ITACAJA";-;284;192;259;472;461;614;791;838;931;1080;638;781;815;395;750;785;579;10665
"171070 ITAGUATINS";10;100;303;343;451;736;1201;778;476;375;302;584;534;631;678;489;486;633;9110
"171090 ITAPIRATINS";-;-;-;165;184;243;286;127;220;143;190;281;376;298;403;244;72;-;3232
"171110 ITAPORA DO TOCANTINS";-;-;339;259;407;413;385;362;287;517;641;415;491;564;376;643;100;298;6497
"171150 JAU DO TOCANTINS";-;-;-;20;126;407;551;368;493;499;508;325;309;319;328;390;521;399;5563
"171180 JUARINA";-;-;151;41;198;192;100;240;211;300;246;346;307;346;338;364;261;198;3839
"171190 LAGOA DA CONFUSAO";10;397;357;496;566;796;636;831;910;840;904;961;828;1071;828;966;865;114;12376
"171195 LAGOA DO TOCANTINS";-;-;33;117;184;269;377;459;631;577;371;456;283;230;305;133;180;381;4986
"171200 LAJEADO";-;121;145;194;180;226;225;264;205;186;125;285;580;318;275;350;224;249;4152
"171215 LAVANDEIRA";-;-;-;92;91;157;103;199;154;201;202;119;108;121;173;331;162;156;2369
"171240 LIZARDA";12;123;-;238;427;354;242;423;409;163;184;220;299;172;245;144;236;211;4102
"171245 LUZINOPOLIS";-;108;219;231;276;355;442;279;277;348;203;372;488;348;104;250;167;234;4701
"171250 MARIANOPOLIS DO TOCANTINS";-;74;80;645;197;194;200;255;300;499;505;423;266;554;696;362;238;304;5792
"171270 MATEIROS";-;-;-;-;-;64;129;88;225;117;309;191;37;213;189;227;208;129;2126
"171280 MAURILANDIA DO TOCANTINS";-;-;130;121;323;371;214;923;649;396;842;352;268;343;345;247;266;219;6009
"171320 MIRACEMA DO TOCANTINS";-;746;1121;118;407;1102;661;185;1156;758;1392;1509;1653;1505;1306;2534;2314;2576;21043
"171330 MIRANORTE";-;24;3;369;442;331;355;1091;1035;710;1246;1071;1117;1089;1053;1250;1066;901;13153
"171360 MONTE DO CARMO";-;-;83;337;507;621;716;930;628;596;476;774;906;399;437;660;319;727;9116
"171370 MONTE SANTO DO TOCANTINS";15;92;114;120;115;143;175;192;170;157;256;156;250;170;118;181;254;227;2905
"171380 PALMEIRAS DO TOCANTINS";-;-;22;201;268;275;413;378;497;501;494;442;473;543;656;744;191;-;6098
"171395 MURICILANDIA";-;-;-;318;545;489;588;370;449;515;456;501;341;434;477;346;376;409;6614
"171420 NATIVIDADE";-;207;395;365;761;782;616;883;1060;1039;1676;1120;1020;980;967;1014;731;1025;14641
"171430 NAZARE";-;135;179;308;478;775;527;525;487;633;454;493;457;474;397;449;317;168;7256
"171488 NOVA OLINDA";-;904;1299;1015;1125;1225;1171;1056;936;749;1362;799;1055;1403;1047;1095;1104;1130;18475
"171500 NOVA ROSALANDIA";-;25;212;508;272;487;452;367;426;388;293;365;212;402;509;581;563;429;6491
"171510 NOVO ACORDO";114;168;135;137;263;363;451;574;623;603;578;1492;469;331;565;299;327;436;7928
"171515 NOVO ALEGRE";-;13;326;272;255;323;137;254;347;350;347;387;243;308;234;186;255;224;4461
"171525 NOVO JARDIM";-;-;-;177;212;171;212;222;208;219;260;479;455;379;63;210;262;201;3730
"171550 OLIVEIRA DE FATIMA";-;-;46;12;112;96;67;86;131;194;216;177;114;75;69;136;142;108;1781
"171570 PALMEIRANTE";-;-;-;143;257;273;293;350;381;278;462;374;402;557;526;494;506;379;5675
"171575 PALMEIROPOLIS";284;512;474;205;330;681;741;641;699;827;889;601;647;670;612;762;813;993;11381
"171610 PARAISO DO TOCANTINS";10;311;1325;2681;3337;4325;4335;3933;4326;3220;4415;4364;4552;4492;4855;4881;3092;-;58454
"171620 PARANA";66;169;365;106;251;436;328;338;491;342;467;515;478;730;702;925;527;619;7855
"171630 PAU D'ARCO";-;56;-;161;331;377;377;448;389;360;497;559;440;352;317;291;281;162;5398
"171650 PEDRO AFONSO";89;153;95;295;654;1126;1333;1497;1416;1131;1691;1368;1393;1817;2308;2021;1410;1040;20837
"171660 PEIXE";108;129;61;201;522;669;692;960;1028;712;176;818;1234;1141;962;657;1142;1187;12399
"171665 PEQUIZEIRO";-;35;136;451;567;461;395;387;343;317;304;444;298;302;344;546;735;878;6943
"171670 COLMEIA";80;274;288;293;696;918;798;802;1073;554;745;811;618;756;654;704;659;507;11230
"171700 PINDORAMA DO TOCANTINS";-;-;-;202;162;442;311;465;540;719;521;49;403;332;426;573;504;326;5975
"171720 PIRAQUE";-;574;572;194;179;175;167;303;417;119;258;281;290;295;200;243;254;120;4641
"171750 PIUM";-;76;93;156;234;500;713;774;677;515;573;641;587;664;536;570;343;-;7652
"171780 PONTE ALTA DO BOM JESUS";-;-;-;55;228;186;261;309;360;347;365;378;388;352;266;342;183;-;4020
"171790 PONTE ALTA DO TOCANTINS";61;484;246;281;443;510;398;623;675;469;584;618;864;939;814;759;786;826;10380
"171800 PORTO ALEGRE DO TOCANTINS";34;239;199;185;424;537;416;440;377;459;467;385;253;301;322;272;320;212;5842
"171820 PORTO NACIONAL";-;1157;2669;847;1022;2357;3465;4021;4314;3464;4932;5263;5189;6286;6030;6790;2986;-;60792
"171830 PRAIA NORTE";-;39;-;412;578;931;499;601;962;991;883;904;867;839;744;577;277;-;10104
"171840 PRESIDENTE KENNEDY";-;245;514;538;322;283;350;229;397;580;312;340;290;310;306;281;392;132;5821
"171845 PUGMIL";-;16;77;-;405;463;362;230;297;262;279;369;324;323;288;308;341;297;4641
"171850 RECURSOLANDIA";-;-;-;267;343;421;489;182;222;269;322;468;229;325;398;340;-;-;4275
"171855 RIACHINHO";-;228;342;419;365;470;424;499;494;438;559;571;421;547;529;432;448;320;7506
"171865 RIO DA CONCEICAO";-;-;-;46;122;280;322;327;297;273;252;211;287;354;361;377;422;339;4270
"171870 RIO DOS BOIS";-;-;-;214;39;85;21;88;165;258;334;239;213;320;355;264;271;106;2972
"171875 RIO SONO";-;79;314;422;306;450;346;337;497;454;435;345;331;279;339;382;466;170;5952
"171880 SAMPAIO";-;-;-;76;663;568;453;359;437;503;597;734;594;496;352;209;448;-;6489
"171884 SANDOLANDIA";-;-;8;262;196;214;241;177;314;331;319;227;384;214;153;250;287;-;3577
"171886 SANTA FE DO ARAGUAIA";-;360;482;-;739;1246;1281;1286;930;1233;1238;1364;1056;1214;1068;1010;1230;1109;16846
"171888 SANTA MARIA DO TOCANTINS";-;-;-;55;243;228;286;698;475;367;359;373;223;239;296;258;173;-;4273
"171889 SANTA RITA DO TOCANTINS";-;-;-;-;147;97;155;129;154;203;136;120;94;141;127;97;162;168;1930
"171890 SANTA ROSA DO TOCANTINS";-;-;-;386;422;376;500;736;590;668;815;615;713;953;833;501;726;638;9472
"171900 SANTA TEREZA DO TOCANTINS";-;-;83;111;85;87;136;276;328;274;208;307;370;437;305;386;374;431;4198
"172000 SANTA TEREZINHA DO TOCANTINS";-;-;-;189;337;431;368;310;259;409;300;280;317;224;334;226;244;278;4506
"172010 SAO BENTO DO TOCANTINS";-;-;198;148;328;345;423;230;387;571;528;277;358;329;264;529;500;572;5987
